system,multiplicity,name,executions,total (μs),avg (μs),min (μs),max (μs),ops/s,μs/op
mysql,500,(once) initialize,1,100,100,100,100,9.963881825133257,100
mysql,500,(loop) insert_customer,375,355,13,3,33,1054.246581134564,0
mysql,500,(loop) insert_order,500,513,14,3,54,973.7574717847102,1
mysql,500,(loop) insert_supplier,125,81,7,2,20,1526.039091920794,0
mysql,500,(loop) insert_category,50,40,8,1,17,1242.6920079071995,0
mysql,500,(loop) insert_product,250,233,11,2,31,1070.9526981869294,0
mysql,500,(loop) insert_lineitem,500,559,15,2,55,894.0491850215977,1
mysql,500,(loop) select_simple,500,101,2,0,26,4943.155393645906,0
mysql,500,(loop) select_medium,500,103,2,0,22,4818.033103896028,0
mysql,500,(loop) select_complex,500,482,13,2,63,1035.4532182256714,0
