system,multiplicity,name,executions,total (μs),avg (μs),min (μs),max (μs),ops/s,μs/op
postgres,100,(once) initialize,1,53,53,53,53,18.52783870760469,53
postgres,100,(loop) insert_customer,75,128,19,1,77,582.6007950450098,1
postgres,100,(loop) insert_order,100,147,17,1,73,676.0925506878755,1
postgres,100,(loop) insert_supplier,25,60,25,1,54,409.90564201667934,0
postgres,100,(loop) insert_category,10,14,1,1,1,688.9741808303683,0
postgres,100,(loop) insert_product,50,70,13,1,60,707.7132320506055,0
postgres,100,(loop) insert_lineitem,100,124,11,1,66,805.1707161600597,1
postgres,100,(loop) select_simple,100,73,7,0,67,1362.329518084107,0
postgres,100,(loop) select_medium,100,80,8,0,61,1242.9741816612234,0
postgres,100,(loop) select_complex,100,77,8,0,68,1295.9431110003395,0
