system,multiplicity,name,executions,total (μs),avg (μs),min (μs),max (μs),ops/s,μs/op
neo4j,100,(once) initialize,1,315,315,315,315,3.1703668800547615,315
neo4j,100,(loop) insert_customer,75,782,147,27,377,95.90253540409924,7
neo4j,100,(loop) insert_order,100,2583,309,40,893,38.71219015518855,25
neo4j,100,(loop) insert_supplier,25,262,62,13,96,95.27924643537281,2
neo4j,100,(loop) insert_category,10,160,16,14,21,62.1475507522846,1
neo4j,100,(loop) insert_product,50,1397,325,56,772,35.77524097531535,13
neo4j,100,(loop) insert_lineitem,100,3098,299,47,794,32.27670943845589,30
neo4j,100,(loop) select_simple,100,902,96,15,250,110.75046514226293,9
neo4j,100,(loop) select_medium,100,1165,146,14,372,85.80592317961647,11
neo4j,100,(loop) select_complex,100,1842,231,23,719,54.263899711205674,18
